date,2020-07-05,2020-07-05,2020-07-05
ALXN,Healthcare,NMS,24798873600.0
ALYA,Technology,NCM,92712280.0
AM,Energy,NYQ,2596892416.0
AMAG,Healthcare,NMS,275724672.0
AMAL,Financial Services,NGM,360223488.0
AMAT,Technology,NMS,55905218560.0
AMBA,Technology,NMS,1552484224.0
AMBC,Financial Services,NYQ,633123584.0
AMBC WS,,,
AMBO,,,
AMC,Communication Services,NYQ,472565088.0
AMCA,,,
AMCI,Financial Services,NCM,285023136.0
AMCI U,,,
AMCI W,,,
AMCR,Consumer Cyclical,NYQ,16689063936.0
AMCX,Communication Services,NMS,1205260288.0
AMD,Technology,NMS,61300084736.0
AME,Industrials,NYQ,20410269696.0
AMED,Healthcare,NMS,6609889792.0
AMEH,Healthcare,NCM,584574976.0
AMG,Financial Services,NYQ,3439907584.0
AMGN,Healthcare,NMS,151908892672.0
AMH,Real Estate,NYQ,8293616128.0
AMH PRD,,,
AMH PRE,,,
AMH PRF,,,
AMH PRG,,,
AMH PRH,,,
AMHC,Financial Services,NCM,128125000.0
AMHC W,,,
AMJ,,,
AMK,Financial Services,NYQ,1971182336.0
AMKR,Technology,NMS,2958898176.0
AMLP,,,
AMN,Healthcare,NYQ,2046287744.0
AMNA,,,
AMNB,Financial Services,NMS,253887600.0
AMOM,,,
AMOT,Technology,NGM,330098592.0
AMOV,Communication Services,NYQ,55786246144.0
AMP,Financial Services,NYQ,17793916928.0
AMPE,Healthcare,ASE,108801672.0
AMPH,Healthcare,NMS,1012666752.0
AMPY,Energy,NYQ,46582336.0
AMRB,Financial Services,NMS,60781764.0
AMRC,Industrials,NYQ,1341409152.0
AMRH,,,
AMRH W,,,
AMRK,Financial Services,NMS,133949120.0
AMRN,,,
AMRS,,,
AMRX,Healthcare,NYQ,1409155200.0
AMS,Healthcare,ASE,12001111.0
AMSC,,,
AMSF,Financial Services,NMS,1157395840.0
AMSW A,,,
AMT,Real Estate,NYQ,117125873664.0
AMTB,Financial Services,NMS,553476224.0
AMTB B,,,
AMTD,,,
AMTI,,,
AMTX,,,
AMU,,,
AMUB,,,
AMWD,Consumer Cyclical,NMS,1217325824.0
AMX,Communication Services,NYQ,56478703616.0
AMZA,,,
AMZN,,,
